second,Volt
+169.4000E-06,+578.1250000E-03
+169.6000E-06,+515.6250000E-03
+169.8000E-06,+500.0000000E-03
+170.0000E-06,+531.2500000E-03
+170.2000E-06,+578.1250000E-03
+170.4000E-06,+609.3750000E-03
+170.6000E-06,+625.0000000E-03
+170.8000E-06,+656.2500000E-03
+171.0000E-06,+625.0000000E-03
+171.2000E-06,+609.3750000E-03
+171.4000E-06,+578.1250000E-03
+171.6000E-06,+562.5000000E-03
+171.8000E-06,+578.1250000E-03
+172.0000E-06,+609.3750000E-03
+172.2000E-06,+625.0000000E-03
+172.4000E-06,+625.0000000E-03
+172.6000E-06,+640.6250000E-03
+172.8000E-06,+656.2500000E-03
+173.0000E-06,+625.0000000E-03
+173.2000E-06,+609.3750000E-03
+173.4000E-06,+593.7500000E-03
+173.6000E-06,+609.3750000E-03
+173.8000E-06,+609.3750000E-03
+174.0000E-06,+640.6250000E-03
+174.2000E-06,+656.2500000E-03
+174.4000E-06,+656.2500000E-03
+174.6000E-06,+671.8750000E-03
+174.8000E-06,+656.2500000E-03
+175.0000E-06,+640.6250000E-03
+175.2000E-06,+625.0000000E-03
+175.4000E-06,+625.0000000E-03
+175.6000E-06,+640.6250000E-03
+175.8000E-06,+640.6250000E-03
+176.0000E-06,+671.8750000E-03
+176.2000E-06,+671.8750000E-03
+176.4000E-06,+671.8750000E-03
+176.6000E-06,+671.8750000E-03
+176.8000E-06,+656.2500000E-03
+177.0000E-06,+656.2500000E-03
+177.2000E-06,+625.0000000E-03
+177.4000E-06,+625.0000000E-03
+177.6000E-06,+640.6250000E-03
+177.8000E-06,+656.2500000E-03
+178.0000E-06,+656.2500000E-03
+178.2000E-06,+671.8750000E-03
+178.4000E-06,+656.2500000E-03
+178.6000E-06,+656.2500000E-03
+178.8000E-06,+640.6250000E-03
+179.0000E-06,+640.6250000E-03
+179.2000E-06,+625.0000000E-03
+179.4000E-06,+656.2500000E-03
+179.6000E-06,+687.5000000E-03
+179.8000E-06,+656.2500000E-03
+180.0000E-06,+656.2500000E-03
+180.2000E-06,+671.8750000E-03
+180.4000E-06,+656.2500000E-03
+180.6000E-06,+656.2500000E-03
+180.8000E-06,+640.6250000E-03
+181.0000E-06,+734.3750000E-03
+181.2000E-06,+625.0000000E-03
+181.4000E-06,+656.2500000E-03
+181.6000E-06,+656.2500000E-03
+181.8000E-06,+640.6250000E-03
+182.0000E-06,+640.6250000E-03
+182.2000E-06,+656.2500000E-03
+182.4000E-06,+640.6250000E-03
+182.6000E-06,+625.0000000E-03
+182.8000E-06,+640.6250000E-03
+183.0000E-06,+625.0000000E-03
+183.2000E-06,+625.0000000E-03
+183.4000E-06,+625.0000000E-03
+183.6000E-06,+640.6250000E-03
+183.8000E-06,+625.0000000E-03
+184.0000E-06,+625.0000000E-03
+184.2000E-06,+625.0000000E-03
+184.4000E-06,+625.0000000E-03
+184.6000E-06,+625.0000000E-03
+184.8000E-06,+625.0000000E-03
+185.0000E-06,+625.0000000E-03
+185.2000E-06,+640.6250000E-03
+185.4000E-06,+625.0000000E-03
+185.6000E-06,+656.2500000E-03
+185.8000E-06,+625.0000000E-03
+186.0000E-06,+625.0000000E-03
+186.2000E-06,+609.3750000E-03
+186.4000E-06,+609.3750000E-03
+186.6000E-06,+640.6250000E-03
+186.8000E-06,+625.0000000E-03
+187.0000E-06,+625.0000000E-03
+187.2000E-06,+625.0000000E-03
+187.4000E-06,+625.0000000E-03
+187.6000E-06,+625.0000000E-03
+187.8000E-06,+640.6250000E-03
+188.0000E-06,+1.2031250000E+00
+188.2000E-06,+1.5312500000E+00
+188.4000E-06,+1.7812500000E+00
+188.6000E-06,+2.0937500000E+00
+188.8000E-06,+2.1406250000E+00
+189.0000E-06,+2.0781250000E+00
+189.2000E-06,+2.0468750000E+00
+189.4000E-06,+2.0781250000E+00
+189.6000E-06,+2.1250000000E+00
+189.8000E-06,+2.1406250000E+00
+190.0000E-06,+2.1093750000E+00
+190.2000E-06,+2.0625000000E+00
+190.4000E-06,+2.0156250000E+00
+190.6000E-06,+2.0000000000E+00
+190.8000E-06,+1.9843750000E+00
+191.0000E-06,+2.0156250000E+00
+191.2000E-06,+2.0625000000E+00
+191.4000E-06,+2.0625000000E+00
+191.6000E-06,+2.0781250000E+00
+191.8000E-06,+2.0625000000E+00
+192.0000E-06,+1.8750000000E+00
+192.2000E-06,+1.0312500000E+00
+192.4000E-06,+812.5000000E-03
+192.6000E-06,+468.7500000E-03
+192.8000E-06,+406.2500000E-03
+193.0000E-06,+531.2500000E-03
+193.2000E-06,+578.1250000E-03
+193.4000E-06,+578.1250000E-03
+193.6000E-06,+500.0000000E-03
+193.8000E-06,+484.3750000E-03
+194.0000E-06,+515.6250000E-03
+194.2000E-06,+578.1250000E-03
+194.4000E-06,+625.0000000E-03
+194.6000E-06,+656.2500000E-03
+194.8000E-06,+640.6250000E-03
+195.0000E-06,+656.2500000E-03
+195.2000E-06,+609.3750000E-03
+195.4000E-06,+593.7500000E-03
+195.6000E-06,+578.1250000E-03
+195.8000E-06,+578.1250000E-03
+196.0000E-06,+609.3750000E-03
+196.2000E-06,+609.3750000E-03
+196.4000E-06,+640.6250000E-03
+196.6000E-06,+656.2500000E-03
+196.8000E-06,+640.6250000E-03
+197.0000E-06,+625.0000000E-03
+197.2000E-06,+609.3750000E-03
+197.4000E-06,+593.7500000E-03
+197.6000E-06,+593.7500000E-03
+197.8000E-06,+609.3750000E-03
+198.0000E-06,+609.3750000E-03
+198.2000E-06,+625.0000000E-03
+198.4000E-06,+656.2500000E-03
+198.6000E-06,+656.2500000E-03
+198.8000E-06,+625.0000000E-03
+199.0000E-06,+625.0000000E-03
+199.2000E-06,+625.0000000E-03
+199.4000E-06,+625.0000000E-03
+199.6000E-06,+625.0000000E-03
+199.8000E-06,+640.6250000E-03
+200.0000E-06,+656.2500000E-03
+200.2000E-06,+656.2500000E-03
+200.4000E-06,+671.8750000E-03
+200.6000E-06,+656.2500000E-03
+200.8000E-06,+671.8750000E-03
+201.0000E-06,+656.2500000E-03
+201.2000E-06,+656.2500000E-03
+201.4000E-06,+656.2500000E-03
+201.6000E-06,+656.2500000E-03
+201.8000E-06,+671.8750000E-03
+202.0000E-06,+656.2500000E-03
+202.2000E-06,+656.2500000E-03
+202.4000E-06,+656.2500000E-03
+202.6000E-06,+656.2500000E-03
+202.8000E-06,+640.6250000E-03
+203.0000E-06,+625.0000000E-03
+203.2000E-06,+625.0000000E-03
+203.4000E-06,+640.6250000E-03
+203.6000E-06,+625.0000000E-03
+203.8000E-06,+640.6250000E-03
+204.0000E-06,+625.0000000E-03
+204.2000E-06,+640.6250000E-03
+204.4000E-06,+640.6250000E-03
+204.6000E-06,+656.2500000E-03
+204.8000E-06,+609.3750000E-03
+205.0000E-06,+625.0000000E-03
+205.2000E-06,+609.3750000E-03
+205.4000E-06,+625.0000000E-03
+205.6000E-06,+656.2500000E-03
+205.8000E-06,+640.6250000E-03
+206.0000E-06,+671.8750000E-03
+206.2000E-06,+656.2500000E-03
+206.4000E-06,+671.8750000E-03
+206.6000E-06,+671.8750000E-03
+206.8000E-06,+687.5000000E-03
+207.0000E-06,+687.5000000E-03
+207.2000E-06,+671.8750000E-03
+207.4000E-06,+671.8750000E-03
+207.6000E-06,+671.8750000E-03
+207.8000E-06,+671.8750000E-03
+208.0000E-06,+687.5000000E-03
+208.2000E-06,+671.8750000E-03
+208.4000E-06,+671.8750000E-03
+208.6000E-06,+671.8750000E-03
+208.8000E-06,+656.2500000E-03
+209.0000E-06,+640.6250000E-03
+209.2000E-06,+609.3750000E-03
+209.4000E-06,+609.3750000E-03
+209.6000E-06,+609.3750000E-03
+209.8000E-06,+593.7500000E-03
+210.0000E-06,+578.1250000E-03
+210.2000E-06,+578.1250000E-03
+210.4000E-06,+546.8750000E-03
+210.6000E-06,+546.8750000E-03
+210.8000E-06,+531.2500000E-03
+211.0000E-06,+515.6250000E-03
+211.2000E-06,+515.6250000E-03
+211.4000E-06,+515.6250000E-03
+211.6000E-06,+515.6250000E-03
+211.8000E-06,+515.6250000E-03
+212.0000E-06,+1.0312500000E+00
+212.2000E-06,+1.3437500000E+00
+212.4000E-06,+1.5781250000E+00
+212.6000E-06,+1.9062500000E+00
+212.8000E-06,+1.9375000000E+00
+213.0000E-06,+1.9062500000E+00
+213.2000E-06,+1.8750000000E+00
+213.4000E-06,+1.9218750000E+00
+213.6000E-06,+2.0000000000E+00
+213.8000E-06,+2.0312500000E+00
+214.0000E-06,+2.0000000000E+00
+214.2000E-06,+1.9843750000E+00
+214.4000E-06,+1.9531250000E+00
+214.6000E-06,+1.9687500000E+00
+214.8000E-06,+1.9843750000E+00
+215.0000E-06,+2.0468750000E+00
+215.2000E-06,+2.0937500000E+00
+215.4000E-06,+2.1250000000E+00
+215.6000E-06,+2.1406250000E+00
+215.8000E-06,+2.1406250000E+00
+216.0000E-06,+1.9687500000E+00
+216.2000E-06,+1.1093750000E+00
+216.4000E-06,+859.3750000E-03
+216.6000E-06,+531.2500000E-03
+216.8000E-06,+453.1250000E-03
+217.0000E-06,+578.1250000E-03
+217.2000E-06,+656.2500000E-03
+217.4000E-06,+593.7500000E-03
+217.6000E-06,+546.8750000E-03
+217.8000E-06,+515.6250000E-03
+218.0000E-06,+531.2500000E-03
+218.2000E-06,+578.1250000E-03
+218.4000E-06,+609.3750000E-03
+218.6000E-06,+640.6250000E-03
+218.8000E-06,+656.2500000E-03
+219.0000E-06,+625.0000000E-03
+219.2000E-06,+593.7500000E-03
+219.4000E-06,+562.5000000E-03
+219.6000E-06,+562.5000000E-03
+219.8000E-06,+562.5000000E-03
+220.0000E-06,+578.1250000E-03
+220.2000E-06,+625.0000000E-03
+220.4000E-06,+625.0000000E-03
+220.6000E-06,+656.2500000E-03
+220.8000E-06,+656.2500000E-03
+221.0000E-06,+640.6250000E-03
+221.2000E-06,+625.0000000E-03
+221.4000E-06,+593.7500000E-03
+221.6000E-06,+625.0000000E-03
+221.8000E-06,+640.6250000E-03
+222.0000E-06,+656.2500000E-03
+222.2000E-06,+671.8750000E-03
+222.4000E-06,+687.5000000E-03
+222.6000E-06,+687.5000000E-03
+222.8000E-06,+671.8750000E-03
+223.0000E-06,+656.2500000E-03
+223.2000E-06,+656.2500000E-03
+223.4000E-06,+640.6250000E-03
+223.6000E-06,+640.6250000E-03
+223.8000E-06,+640.6250000E-03
+224.0000E-06,+656.2500000E-03
+224.2000E-06,+671.8750000E-03
+224.4000E-06,+671.8750000E-03
+224.6000E-06,+656.2500000E-03
+224.8000E-06,+640.6250000E-03
+225.0000E-06,+640.6250000E-03
+225.2000E-06,+625.0000000E-03
+225.4000E-06,+625.0000000E-03
+225.6000E-06,+625.0000000E-03
+225.8000E-06,+640.6250000E-03
+226.0000E-06,+656.2500000E-03
+226.2000E-06,+656.2500000E-03
+226.4000E-06,+656.2500000E-03
+226.6000E-06,+656.2500000E-03
+226.8000E-06,+640.6250000E-03
+227.0000E-06,+656.2500000E-03
+227.2000E-06,+640.6250000E-03
+227.4000E-06,+656.2500000E-03
+227.6000E-06,+656.2500000E-03
+227.8000E-06,+656.2500000E-03
+228.0000E-06,+656.2500000E-03
